"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"363273","occ","","","34416","Cyzicus minutus","species","57396","species not entered","Cyzicus","genus","57396","Carnian","","237","228","9062"
"400708","occ","","","38479","Cyzicus sp.","genus","57396","","Cyzicus","genus","57396","Late Bathonian","","167.7","164.7","10298"
"405198","occ","","","38883","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Late Kimmeridgian","Tithonian","155.7","145","10502"
"405206","occ","","","38885","Cyzicus mawsoni","species","57396","species not entered","Cyzicus","genus","57396","Berriasian","Hauterivian","145","129.4","10504"
"405233","occ","","","38890","Estheriina astartoides","species","57424","species not entered","Estheriina","genus","57424","Turonian","","93.9","89.8","10504"
"407777","occ","","","39219","Branchiopoda ? indet.","class","22113","","Branchiopoda","class","22113","Norian","","228","208.5","10591"
"409332","occ","","","39419","Cyzicus (Lioestheria) cf. tendagurensis","species","222091","species not entered","Lioestheria","genus","179624","Kimmeridgian","Tithonian","157.3","145","10656"
"418406","occ","","","40565","Euestheria sp.","genus","198361","","Euestheria","genus","198361","Bathonian","","168.3","166.1","10961"
"478131","occ","","","47406","Cyzicus (Euestheria) minutus","species","57396","species not entered","Cyzicus","genus","57396","Carnian","","237","228","12702"
"478132","occ","","","47407","Cyzicus (Euestheria) minutus","species","57396","species not entered","Cyzicus","genus","57396","Carnian","","237","228","12702"
"478133","occ","","","47407","Cyzicus (Euestheria) cf. fimbriatus","species","57396","species not entered","Cyzicus","genus","57396","Carnian","","237","228","12702"
"478135","occ","","","47408","Cyzicus (Euestheria) cf. fimbriatus","species","57396","species not entered","Cyzicus","genus","57396","Carnian","","237","228","12702"
"478136","occ","","","47409","Cyzicus (Euestheria) minutus","species","57396","species not entered","Cyzicus","genus","57396","Carnian","","237","228","12702"
"485539","occ","","","48615","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Smithian","","251.3","247.2","12967"
"485542","occ","","","48616","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Smithian","Spathian","251.3","247.2","12967"
"497830","occ","","","24190","Diplostraca indet.","infraclass","133222","","Diplostraca","infraclass","133222","Atdabanian","","520","516","13497"
"504420","occ","","","51265","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Asselian","Sakmarian","298.9","290.1","13653"
"513407","occ","","","51938","Cyzicus sp.","genus","57396","","Cyzicus","genus","57396","Late Oxfordian","Tithonian","161.2","145","13864"
"518530","occ","","","52673","Estheria sp.","genus","133416","","Estheria","genus","133416","Aptian","Albian","125","100.5","14031"
"521672","occ","","","48422","Shipingia sp.","genus","368654","","Shipingia","genus","368654","Rhaetian","","208.5","201.3","32134"
"540505","occ","","","56463","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Berriasian","Hauterivian","145","129.4","15205"
"557216","occ","","","57698","Euestheria bourozi","species","198361","species not entered","Euestheria","genus","198361","Westphalian C","","314.6","311.45","15520"
"574399","occ","","","60392","Pseudestheria plicata","species","222092","species not entered","Pseudestheria","genus","222092","Givetian","","387.7","382.7","17373"
"574400","occ","","","60392","Ulugkemia obrutschevi","species","80995","species not entered","Ulugkemia","genus","80995","Givetian","","387.7","382.7","17373"
"574401","occ","","","60392","Ulugkemia barykensis","species","80995","species not entered","Ulugkemia","genus","80995","Givetian","","387.7","382.7","17373"
"584314","occ","","","61448","Branchiopoda indet.","class","22113","","Branchiopoda","class","22113","Carnian","Norian","237","208.5","17738"
"591910","occ","","","22710","Cyzicus aff. codoensis","species","57396","species not entered","Cyzicus","genus","57396","Albian","","113","100.5","18072"
"622696","occ","","","67034","Cladocera antarctica","species","277029","species not entered","Cladocera","order","277029","Danian","","66","61.6","19080"
"622798","occ","","","67052","Cladocera antarctica","species","277029","species not entered","Cladocera","order","277029","Danian","","66","61.6","19080"
"632332","occ","26834","","27891","Euestheria luanpingensis","species","198361","species not entered","Euestheria","genus","198361","Early Callovian","","164.7","161.2","41125"
"700397","occ","","","75263","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Hettangian","Sinemurian","201.3","190.8","25375"
"719338","occ","","","77192","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Late Aptian","","122.46","112.03","26127"
"719339","occ","","","77192","Anostraca indet.","order","133208","","Anostraca","order","133208","Late Aptian","","122.46","112.03","26127"
"719340","occ","29076","","77192","Daphniidae indet.","family","277028","","Daphniidae","family","277028","Late Aptian","","122.46","112.03","48046"
"719388","occ","","","77198","Anostraca indet.","order","133208","","Anostraca","order","133208","Gzhelian","","303.7","298.9","26135"
"740228","occ","","","79579","Estheria sp.","genus","133416","","Estheria","genus","133416","Late Triassic","","237","201.3","26704"
"780914","occ","","","84073","Estheria draperi","species","133416","species not entered","Estheria","genus","133416","Pliensbachian","","190.8","182.7","28154"
"780915","occ","","","84073","Estheria mangaliensis","species","133416","species not entered","Estheria","genus","133416","Pliensbachian","","190.8","182.7","28154"
"783904","occ","","","55270","n. gen. Ethmosestheria n. sp. mahajangaensis","species","134380","","Ethmosestheria mahajangaensis","species","134380","Maastrichtian","","72.1","66","28296"
"787531","occ","","","84941","Estheria sp.","genus","133416","","Estheria","genus","133416","Leonard","","290.1","268","26635"
"790097","occ","","","85500","cf. Euestheria brodieana","species","198361","species not entered","Euestheria","genus","198361","Norian","Rhaetian","228","201.3","28888"
"792024","occ","","","58786","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Berriasian","Hauterivian","145","129.4","14677"
"806344","occ","","","88068","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Aegean","Bithynian","247.2","242","29585"
"830858","occ","","","12856","cf. Cyzicus sp.","genus","57396","","Cyzicus","genus","57396","Norian","","228","208.5","61318"
"830865","occ","","","91743","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Norian","","228","208.5","30920"
"832021","occ","22306","","89149","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Carnian","Norian","237","208.5","30998"
"832039","occ","","","89149","Palaeolimnadia ? sp.","genus","399423","","Palaeolimnadia","genus","399423","Carnian","Norian","237","208.5","83014"
"880684","occ","","","97695","Euestheria sp.","genus","198361","","Euestheria","genus","198361","Anisian","","247.2","242","15587"
"895617","occ","","","73687","Estheria middendorfi","species","284667","","Estheria middendorfi","species","284667","Late Barremian","Early Aptian","130","122.46","34144"
"916078","occ","","","104818","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Artinskian","","290.1","279.3","35085"
"929901","occ","","","106378","Cyzicus ? (Lioestheria) sp.","subgenus","222091","reassigned as","Lioestheria","genus","179624","Albian","","113","100.5","35509"
"929902","occ","","","14390","Cyzicus ? (Lioestheria) sp.","subgenus","222091","reassigned as","Lioestheria","genus","179624","Albian","","113","100.5","35509"
"929903","occ","","","14391","Cyzicus ? (Lioestheria) sp.","subgenus","222091","reassigned as","Lioestheria","genus","179624","Albian","","113","100.5","35509"
"929904","occ","","","14375","Cyzicus ? (Lioestheria) sp.","subgenus","222091","reassigned as","Lioestheria","genus","179624","Late Aptian","Early Albian","122.46","109","35509"
"930199","occ","","","106431","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","35523"
"930991","occ","","","106542","Estheria sp.","genus","133416","","Estheria","genus","133416","Norian","","228","208.5","35627"
"933494","occ","","","107286","Cyzicus sp.","genus","57396","","Cyzicus","genus","57396","Carnian","","237","228","35713"
"947560","occ","","","110469","Laxitextella cf. laxitexta","species","368644","","Laxitextella laxitexta","species","368643","Carnian","","237","228","36360"
"947561","occ","","","110469","Laxitextella sp.","genus","368642","","Laxitextella","genus","368642","Carnian","","237","228","36360"
"956683","occ","","","63512","Lioestheria sp.","genus","222093","","Lioestheria","genus","179624","Griesbachian","","252.17","251.3","33770"
"956684","occ","","","63512","Palaeolimnadia sp.","genus","399423","","Palaeolimnadia","genus","399423","Griesbachian","","252.17","251.3","33770"
"970515","occ","","","115104","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Longobardian","","242","235","37259"
"974361","occ","","","115919","Isaura sp.","genus","368646","","Isaura","genus","368646","Carnian","","237","228","37415"
"974798","occ","","","116119","Estheriina sp.","genus","57424","","Estheriina","genus","57424","Ladinian","","242","237","37426"
"974799","occ","","","116119","Estherites wianamatensis","species","198369","","Estherites wianamatensis","species","198368","Ladinian","","242","237","37426"
"974800","occ","","","116119","Euestheria n. sp. azambujai","species","198365","","Euestheria azambujai","species","198365","Ladinian","","242","237","37426"
"979968","occ","","","117153","Triopsidae indet.","family","200143","","Triopsidae","family","200143","Capitanian","","265.1","259.9","37636"
"991415","occ","","","119697","Antronestheriidae indet.","family","134378","","Antronestheriidae","family","134378","Late Hauterivian","","136.4","130","38390"
"999657","occ","","","121321","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Hettangian","","201.3","199.3","38723"
"1007162","occ","","","122855","Cyzicus sp.","genus","57396","","Cyzicus","genus","57396","Berriasian","Barremian","145","125","39158"
"1008687","occ","","","123022","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","39284"
"1008703","occ","","","123023","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","39284"
"1008713","occ","","","123025","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","39284"
"1008720","occ","","","123026","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","39284"
"1008724","occ","","","123027","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","39284"
"1008728","occ","","","123028","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","39284"
"1008731","occ","","","123029","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","39284"
"1008735","occ","","","123030","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","39284"
"1008741","occ","","","123031","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","39284"
"1008745","occ","","","123032","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","39284"
"1008750","occ","","","123033","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","39284"
"1008755","occ","","","123034","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","39284"
"1008762","occ","","","123035","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","39284"
"1008767","occ","","","123036","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","39284"
"1008772","occ","","","123037","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","39284"
"1008775","occ","","","123038","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","39284"
"1008777","occ","","","123039","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","39284"
"1008781","occ","","","123040","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","39284"
"1008785","occ","","","123041","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","39284"
"1008788","occ","","","123042","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","39284"
"1008797","occ","","","123043","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","39284"
"1012575","occ","","","123835","Leaia baentschiana","species","237054","","Leaia baentschiana","species","237054","Stephanian A","","305.9","304.8","39838"
"1014652","occ","","","123117","Lioestheria sp.","genus","222093","","Lioestheria","genus","179624","Kinderhookian","","358.9","353.8","491"
"1016626","occ","","","80112","Lioestheria monticula","species","222094","","Lioestheria monticula","species","222094","Artinskian","","290.1","279.3","40162"
"1019155","occ","","","124386","cf. Lioestheria pseudotenella","species","222093","species not entered","Lioestheria","genus","179624","Asselian","","298.9","295.5","40358"
"1091188","occ","","","117454","Euestheria forbesi","species","198361","species not entered","Euestheria","genus","198361","Middle Triassic","","247.2","237","43850"
"1093947","occ","","","137860","Phyllopoda indet.","subclass","133204","","Phyllopoda","subclass","133204","Early Cretaceous","","145","100.5","44099"
"1094072","occ","","","137873","Leaia baentschiana","species","237054","","Leaia baentschiana","species","237054","Stephanian C","","303.4","301.2","41866"
"1094365","occ","","","138001","Leaia baentschiana","species","237054","","Leaia baentschiana","species","237054","Stephanian","","306.95","298.9","41866"
"1094369","occ","","","138003","Leaia baentschiana","species","237054","","Leaia baentschiana","species","237054","Stephanian","","306.95","298.9","41866"
"1094487","occ","","","138024","Leaia baentschiana","species","237054","","Leaia baentschiana","species","237054","Stephanian","","306.95","298.9","41866"
"1095022","occ","","","138158","Estheria tenella","species","237020","recombined as","Pseudestheria tenella","species","237027","Asselian","Sakmarian","298.9","290.1","41866"
"1095024","occ","","","123825","Estheria limbata","species","237036","","Estheria limbata","species","237036","Westphalian C","Westphalian D","314.6","306.95","41866"
"1095025","occ","","","123825","Leaia baentschiana","species","237054","","Leaia baentschiana","species","237054","Westphalian C","Westphalian D","314.6","306.95","41866"
"1095038","occ","","","138159","Leaia baentschiana","species","237054","","Leaia baentschiana","species","237054","Stephanian","","306.95","298.9","41866"
"1095039","occ","","","138160","Leaia baentschiana","species","237054","","Leaia baentschiana","species","237054","Stephanian","","306.95","298.9","41866"
"1095117","occ","","","138178","Leaia baentschiana","species","237054","","Leaia baentschiana","species","237054","Stephanian","","306.95","298.9","41866"
"1095119","occ","","","138179","Leaia baentschiana","species","237054","","Leaia baentschiana","species","237054","Stephanian","","306.95","298.9","41866"
"1095122","occ","","","138180","Leaia baentschiana","species","237054","","Leaia baentschiana","species","237054","Stephanian A","","305.9","304.8","41866"
"1095123","occ","","","138181","Leaia baentschiana","species","237054","","Leaia baentschiana","species","237054","Stephanian","","306.95","298.9","41866"
"1096005","occ","","","138347","Leaia baentschiana","species","237054","","Leaia baentschiana","species","237054","Stephanian","","306.95","298.9","41866"
"1096007","occ","","","122593","Estheria tenella","species","237020","recombined as","Pseudestheria tenella","species","237027","Westphalian C","","314.6","311.45","41866"
"1096008","occ","","","122593","Leaia baentschiana","species","237054","","Leaia baentschiana","species","237054","Westphalian C","","314.6","311.45","41866"
"1096009","occ","","","122593","Leaia herriana","species","237317","","Leaia herriana","species","237317","Westphalian C","","314.6","311.45","41866"
"1096016","occ","","","138351","Leaia baentschiana","species","237054","","Leaia baentschiana","species","237054","Stephanian","","306.95","298.9","41866"
"1096018","occ","","","122606","Estheria tenella","species","237020","recombined as","Pseudestheria tenella","species","237027","Asselian","Sakmarian","298.9","290.1","41866"
"1096019","occ","","","122606","Estheria drummi","species","237049","","Estheria drummi","species","237049","Asselian","Sakmarian","298.9","290.1","41866"
"1096020","occ","","","122606","Estheria obenaueri","species","237050","","Estheria obenaueri","species","237050","Asselian","Sakmarian","298.9","290.1","41866"
"1096027","occ","","","138355","Leaia baentschiana","species","237054","","Leaia baentschiana","species","237054","Stephanian","","306.95","298.9","41866"
"1096028","occ","","","138356","Leaia baentschiana","species","237054","","Leaia baentschiana","species","237054","Stephanian","","306.95","298.9","41866"
"1096037","occ","","","138363","Leaia baentschiana","species","237054","","Leaia baentschiana","species","237054","Stephanian","","306.95","298.9","41866"
"1096045","occ","","","123953","Estheria limbata","species","237036","","Estheria limbata","species","237036","Westphalian C","Westphalian D","314.6","306.95","41866"
"1096046","occ","","","123953","Estheria rimosa","species","237042","","Estheria rimosa","species","237042","Westphalian C","Westphalian D","314.6","306.95","41866"
"1096047","occ","","","123953","Leaia baentschiana","species","237054","","Leaia baentschiana","species","237054","Westphalian C","Westphalian D","314.6","306.95","41866"
"1096048","occ","","","123953","Leaia kliveriana","species","237300","subjective synonym of","Leaia buntschiana","species","237052","Westphalian C","Westphalian D","314.6","306.95","41866"
"1096082","occ","","","123810","Leaia baentschiana","species","237054","","Leaia baentschiana","species","237054","Stephanian","","306.95","298.9","41866"
"1096085","occ","","","138157","Estheria tenella","species","237020","recombined as","Pseudestheria tenella","species","237027","Stephanian","","306.95","298.9","41866"
"1096086","occ","","","138157","Leaia baentschiana","species","237054","","Leaia baentschiana","species","237054","Stephanian","","306.95","298.9","41866"
"1096094","occ","","","138376","Estheria tenella","species","237020","recombined as","Pseudestheria tenella","species","237027","Asselian","Sakmarian","298.9","290.1","41866"
"1096101","occ","","","126164","Leaia baentschiana","species","237054","","Leaia baentschiana","species","237054","Stephanian","","306.95","298.9","41866"
"1096104","occ","","","122600","Estheria limbata","species","237036","","Estheria limbata","species","237036","Stephanian","","306.95","298.9","41866"
"1096105","occ","","","122600","Leaia baentschiana","species","237054","","Leaia baentschiana","species","237054","Stephanian","","306.95","298.9","41866"
"1096107","occ","","","138379","Estheria limbata","species","237036","","Estheria limbata","species","237036","Stephanian","","306.95","298.9","41866"
"1096108","occ","","","138379","Leaia baentschiana","species","237054","","Leaia baentschiana","species","237054","Stephanian","","306.95","298.9","41866"
"1096109","occ","","","138379","Triops ornatus","species","237320","","Triops ornatus","species","237342","Stephanian","","306.95","298.9","41866"
"1100712","occ","","","138972","Spinicaudata indet.","suborder","57393","","Spinicaudata","suborder","57393","Aegean","Bithynian","247.2","242","44661"
"1164070","occ","","","107097","Conchostraca indet.","unranked clade","222095","invalid subgroup of","Diplostraca","infraclass","133222","Hettangian","Sinemurian","201.3","190.8","25375"
"1178732","occ","","","151884","Estheria ovata","species","469849","recombined as","Lioestheria ovata","species","469848","Triassic","","252.17","201.3","48531"
"1181595","occ","","","123024","Menucoestheria terneraensis","species","282430","","Menucoestheria terneraensis","species","282430","Carnian","","237","228","48946"
"1181596","occ","","","123024","Polygrapta troncosoi","species","282435","","Polygrapta troncosoi","species","282434","Carnian","","237","228","48946"
"1184340","occ","","","142140","Estheria middendorfi","species","284667","","Estheria middendorfi","species","284667","Early Aptian","","125.45","122.46","49246"
"1184401","occ","","","152783","Estheria (Euestheria) minuta","species","392423","recombined as","Estheria minuta","species","392422","Rhaetian","","208.5","201.3","49251"
"1185276","occ","","","123945","Daphnia n. sp. fossilis","species","284821","","Daphnia fossilis","species","284821","MP 30","","28.4","23.03","49290"
"1188288","occ","","","123933","Turfanograpta sp.","genus","285939","","Turfanograpta","genus","285939","Aptian","","125","113","49475"
"1191913","occ","","","92421","Euestheria sp.","genus","198361","","Euestheria","genus","198361","Late Bathonian","Early Kimmeridgian","167.7","150.8","49934"
"1198044","occ","","","154940","Daphniidae indet.","family","277028","","Daphniidae","family","277028","Tortonian","","11.62","7.246","50471"
"1275239","occ","","","169347","Daphnia sp.","genus","284820","","Daphnia","genus","284820","Late Pleistocene","","0.126","0.0117","55325"
"1309930","occ","","","118063","Palaeolimnadia alsaticadetfurthensis","species","399423","species not entered","Palaeolimnadia","genus","399423","Spathian","","251.3","247.2","57577"
"1309931","occ","","","118063","Euestheria ? exsecta","species","198361","species not entered","Euestheria","genus","198361","Spathian","","251.3","247.2","57577"
"1309949","occ","","","175801","cf. Euestheria albertii","species","198361","species not entered","Euestheria","genus","198361","Anisian","","247.2","242","57577"
"1309950","occ","","","175801","Palaeolimnadia alsatica","species","399424","","Palaeolimnadia alsatica","species","399424","Anisian","","247.2","242","57577"
"1330801","occ","","","179185","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Late Jurassic","","163.5","145","59306"
"1330807","occ","","","179187","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Late Jurassic","","163.5","145","59306"
"1330834","occ","","","179191","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Late Jurassic","","163.5","145","59306"
"1330847","occ","","","179195","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Late Jurassic","","163.5","145","59306"
"1348042","occ","","","182641","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Ypresian","","56","47.8","60846"
"1371704","occ","","","187288","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Sinemurian","","199.3","190.8","62790"
"1371957","occ","","","55418","Cyzicus sp.","genus","57396","","Cyzicus","genus","57396","Norian","","228","208.5","62822"
"1375687","occ","","","91487","Euestheria luanpingensis","species","198361","species not entered","Euestheria","genus","198361","Oxfordian","","163.5","157.3","63079"
"1397011","occ","","","192447","Conchostraca indet.","unranked clade","222095","invalid subgroup of","Diplostraca","infraclass","133222","Kimmeridgian","Tithonian","157.3","145","65150"
"1397025","occ","","","192453","Conchostraca indet.","unranked clade","222095","invalid subgroup of","Diplostraca","infraclass","133222","Kimmeridgian","Tithonian","157.3","145","65150"
"1397846","occ","","","192679","Euestheria kozuri","species","368633","","Euestheria kozuri","species","368633","Tuvalian","","232","221.5","65378"
"1397853","occ","","","192681","Euestheria kozuri","species","368633","","Euestheria kozuri","species","368633","Tuvalian","","232","221.5","65378"
"1397854","occ","","","192681","Euestheria sp. A informal","genus","198361","obsolete variant of","Euestheria","genus","198361","Tuvalian","","232","221.5","65378"
"1397855","occ","","","192681","Gregoriusella n. sp. striatula","species","368640","","Gregoriusella striatula","species","368640","Tuvalian","","232","221.5","65378"
"1397856","occ","","","192681","Laxitextella freybergi","species","368645","","Laxitextella freybergi","species","368645","Tuvalian","","232","221.5","65378"
"1397857","occ","","","192681","Laxitextella dorsorecta","species","368653","","Laxitextella dorsorecta","species","368652","Tuvalian","","232","221.5","65378"
"1397858","occ","","","192681","Laxitextella sp. A informal","genus","368642","obsolete variant of","Laxitextella","genus","368642","Tuvalian","","232","221.5","65378"
"1397859","occ","","","192687","Euestheria kozuri","species","368633","","Euestheria kozuri","species","368633","Tuvalian","","232","221.5","65378"
"1398092","occ","","","52919","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Kimmeridgian","Tithonian","157.3","145","65420"
"1398093","occ","","","52920","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Kimmeridgian","Tithonian","157.3","145","65420"
"1422844","occ","","","197557","Conchostraca indet.","unranked clade","222095","invalid subgroup of","Diplostraca","infraclass","133222","Wordian","","268.8","265.1","67364"
"1422921","occ","","","197589","Conchostraca indet.","unranked clade","222095","invalid subgroup of","Diplostraca","infraclass","133222","Wordian","","268.8","265.1","67364"
"1422935","occ","","","197588","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Wordian","","268.8","265.1","67364"
"1422952","occ","","","197590","Eustheria eos","species","379233","species not entered","Eustheria","genus","379233","Wordian","","268.8","265.1","67364"
"1422953","occ","","","197590","Pseudestheria sukhonensis","species","222092","species not entered","Pseudestheria","genus","222092","Wordian","","268.8","265.1","67364"
"1422954","occ","","","197590","Estheriina kawasakii","species","57424","species not entered","Estheriina","genus","57424","Wordian","","268.8","265.1","67364"
"1422955","occ","","","197590","Trigonestheria angulata","species","379234","species not entered","Trigonestheria","genus","379234","Wordian","","268.8","265.1","67364"
"1422980","occ","","","197593","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Wordian","","268.8","265.1","67364"
"1423035","occ","","","197595","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Wordian","","268.8","265.1","67364"
"1423043","occ","","","197596","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Capitanian","","265.1","259.9","67364"
"1423167","occ","","","197601","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Roadian","","272.3","268.8","67364"
"1424079","occ","","","197763","Glyptoasmussia exigua","species","379239","species not entered","Glyptoasmussia","genus","379239","Wordian","","268.8","265.1","67364"
"1424099","occ","","","197764","Glyptoasmussia exigua","species","379239","species not entered","Glyptoasmussia","genus","379239","Wordian","","268.8","265.1","67364"
"1424130","occ","","","197765","Glyptoasmussia exigua","species","379239","species not entered","Glyptoasmussia","genus","379239","Wordian","","268.8","265.1","67364"
"1434597","occ","","","124348","Leaia gondwanella","species","237051","species not entered","Leaia","genus","237051","Lopingian","","259.9","252.17","68220"
"1434598","occ","","","124348","Cyzicus (Lioestheria) doumanii","species","222091","species not entered","Lioestheria","genus","179624","Lopingian","","259.9","252.17","68220"
"1437895","occ","","","200630","Estheriellites zavattieriae","species","384312","","Estheriellites zavattieriae","species","384312","Middle Triassic","","247.2","237","68454"
"1437896","occ","","","200630","Euestheria menendezi","species","384503","","Euestheria menendezi","species","384503","Middle Triassic","","247.2","237","68454"
"1437942","occ","","","200630","Euestheria martinsnetoi","species","384546","","Euestheria martinsnetoi","species","384546","Middle Triassic","","247.2","237","68454"
"1441414","occ","","","201164","Cycloconchoides n. sp. venustus","species","167515","","Cycloconchoides venustus","species","167515","Early Cambrian","","541","513","47190"
"1457393","occ","","","203298","Estheria loczyi","species","392427","","Estheria loczyi","species","392427","Norian","Rhaetian","228","201.3","69734"
"1457394","occ","","","203346","Estheria cf. loczyi","species","392427","","Estheria loczyi","species","392427","Anisian","","247.2","242","69734"
